👦	boy	boy child people & body	6.0
👧	girl	girl child people & body	6.0
🧑	person	person adult people & body	11.0
👱	person: blond hair	person: blond hair haired person blond_haired_person people & body	6.0
👨	man	man mustache father dad people & body	6.0
🧔	person: beard	person: beard bearded person bearded_person people & body	11.0
🧔‍♂️	man: beard	man: beard man man_beard people & body	13.1
🧔‍♀️	woman: beard	woman: beard woman woman_beard people & body	13.1
👨‍🦰	man: red hair	man: red hair haired man red_haired_man people & body	11.0
👨‍🦱	man: curly hair	man: curly hair haired man curly_haired_man people & body	11.0
👨‍🦳	man: white hair	man: white hair haired man white_haired_man people & body	11.0
👨‍🦲	man: bald	man: bald man bald_man people & body	11.0
👩	woman	woman girls people & body	6.0
👩‍🦰	woman: red hair	woman: red hair haired woman red_haired_woman people & body	11.0
🧑‍🦰	person: red hair	person: red hair person person_red_hair people & body	12.1
👩‍🦱	woman: curly hair	woman: curly hair haired woman curly_haired_woman people & body	11.0
🧑‍🦱	person: curly hair	person: curly hair person person_curly_hair people & body	12.1
👩‍🦳	woman: white hair	woman: white hair haired woman white_haired_woman people & body	11.0
🧑‍🦳	person: white hair	person: white hair person person_white_hair people & body	12.1
👩‍🦲	woman: bald	woman: bald woman bald_woman people & body	11.0
🧑‍🦲	person: bald	person: bald person person_bald people & body	12.1
👱‍♀️	woman: blond hair	woman: blond hair haired woman blond_haired_woman blonde blonde_woman people & body	6.0
👱‍♂️	man: blond hair	man: blond hair haired man blond_haired_man people & body	11.0
🧓	older person	older person adult older_adult people & body	11.0
👴	old man	old man older older_man people & body	6.0
👵	old woman	old woman older older_woman people & body	6.0
🙍	person frowning	person frowning frowning_person people & body	6.0
🙍‍♂️	man frowning	man frowning frowning_man people & body	6.0
🙍‍♀️	woman frowning	woman frowning frowning_woman people & body	11.0
🙎	person pouting	person pouting face pouting_face people & body	6.0
🙎‍♂️	man pouting	man pouting pouting_man people & body	6.0
🙎‍♀️	woman pouting	woman pouting pouting_woman people & body	11.0
🙅	person gesturing NO	person gesturing no good no_good stop halt denied people & body	6.0
🙅‍♂️	man gesturing NO	man gesturing no good no_good_man ng ng_man stop halt denied people & body	6.0
🙅‍♀️	woman gesturing NO	woman gesturing no good no_good_woman ng ng_woman stop halt denied people & body	11.0
🙆	person gesturing OK	person gesturing ok ok_person people & body	6.0
🙆‍♂️	man gesturing OK	man gesturing ok ok_man people & body	6.0
🙆‍♀️	woman gesturing OK	woman gesturing ok ok_woman people & body	11.0
💁	person tipping hand	person tipping hand tipping_hand_person information desk information_desk_person people & body	6.0
💁‍♂️	man tipping hand	man tipping hand tipping_hand_man sassy sassy_man information people & body	6.0
💁‍♀️	woman tipping hand	woman tipping hand tipping_hand_woman sassy sassy_woman information people & body	11.0
🙋	person raising hand	person raising hand raising_hand people & body	6.0
🙋‍♂️	man raising hand	man raising hand raising_hand_man people & body	6.0
🙋‍♀️	woman raising hand	woman raising hand raising_hand_woman people & body	11.0
🧏	deaf person	deaf person deaf_person people & body	12.0
🧏‍♂️	deaf man	deaf man deaf_man people & body	12.0
🧏‍♀️	deaf woman	deaf woman deaf_woman people & body	12.0
🙇	person bowing	person bowing bow respect thanks people & body	6.0
🙇‍♂️	man bowing	man bowing bowing_man respect thanks people & body	11.0
🙇‍♀️	woman bowing	woman bowing bowing_woman respect thanks people & body	6.0
🤦	person facepalming	person facepalming facepalm people & body	11.0
🤦‍♂️	man facepalming	man facepalming man_facepalming people & body	9.0
🤦‍♀️	woman facepalming	woman facepalming woman_facepalming people & body	9.0
🤷	person shrugging	person shrugging shrug people & body	11.0
🤷‍♂️	man shrugging	man shrugging man_shrugging people & body	9.0
🤷‍♀️	woman shrugging	woman shrugging woman_shrugging people & body	9.0
🧑‍⚕️	health worker	health worker health_worker people & body	12.1
👨‍⚕️	man health worker	man health worker man_health_worker doctor nurse people & body	0
👩‍⚕️	woman health worker	woman health worker woman_health_worker doctor nurse people & body	0
🧑‍🎓	student	student people & body	12.1
👨‍🎓	man student	man student man_student graduation people & body	0
👩‍🎓	woman student	woman student woman_student graduation people & body	0
🧑‍🏫	teacher	teacher people & body	12.1
👨‍🏫	man teacher	man teacher man_teacher school professor people & body	0
👩‍🏫	woman teacher	woman teacher woman_teacher school professor people & body	0
🧑‍⚖️	judge	judge people & body	12.1
👨‍⚖️	man judge	man judge man_judge justice people & body	0
👩‍⚖️	woman judge	woman judge woman_judge justice people & body	0
🧑‍🌾	farmer	farmer people & body	12.1
👨‍🌾	man farmer	man farmer man_farmer people & body	0
👩‍🌾	woman farmer	woman farmer woman_farmer people & body	0
🧑‍🍳	cook	cook people & body	12.1
👨‍🍳	man cook	man cook man_cook chef people & body	0
👩‍🍳	woman cook	woman cook woman_cook chef people & body	0
🧑‍🔧	mechanic	mechanic people & body	12.1
👨‍🔧	man mechanic	man mechanic man_mechanic people & body	0
👩‍🔧	woman mechanic	woman mechanic woman_mechanic people & body	0
🧑‍🏭	factory worker	factory worker factory_worker people & body	12.1
👨‍🏭	man factory worker	man factory worker man_factory_worker people & body	0
👩‍🏭	woman factory worker	woman factory worker woman_factory_worker people & body	0
🧑‍💼	office worker	office worker office_worker people & body	12.1
👨‍💼	man office worker	man office worker man_office_worker business people & body	0
👩‍💼	woman office worker	woman office worker woman_office_worker business people & body	0
🧑‍🔬	scientist	scientist people & body	12.1
👨‍🔬	man scientist	man scientist man_scientist research people & body	0
👩‍🔬	woman scientist	woman scientist woman_scientist research people & body	0
🧑‍💻	technologist	technologist people & body	12.1
👨‍💻	man technologist	man technologist man_technologist coder people & body	0
👩‍💻	woman technologist	woman technologist woman_technologist coder people & body	0
🧑‍🎤	singer	singer people & body	12.1
👨‍🎤	man singer	man singer man_singer rockstar people & body	0
👩‍🎤	woman singer	woman singer woman_singer rockstar people & body	0
🧑‍🎨	artist	artist people & body	12.1
👨‍🎨	man artist	man artist man_artist painter people & body	0
👩‍🎨	woman artist	woman artist woman_artist painter people & body	0
🧑‍✈️	pilot	pilot people & body	12.1
👨‍✈️	man pilot	man pilot man_pilot people & body	0
👩‍✈️	woman pilot	woman pilot woman_pilot people & body	0
🧑‍🚀	astronaut	astronaut people & body	12.1
👨‍🚀	man astronaut	man astronaut man_astronaut space people & body	0
👩‍🚀	woman astronaut	woman astronaut woman_astronaut space people & body	0
🧑‍🚒	firefighter	firefighter people & body	12.1
👨‍🚒	man firefighter	man firefighter man_firefighter people & body	0
👩‍🚒	woman firefighter	woman firefighter woman_firefighter people & body	0
👮	police officer	police officer police_officer cop law people & body	6.0
👮‍♂️	man police officer	man police officer policeman law cop people & body	11.0
👮‍♀️	woman police officer	woman police officer policewoman law cop people & body	6.0
🕵️	detective	detective sleuth people & body	7.0
🕵️‍♂️	man detective	man detective male male_detective sleuth people & body	11.0
🕵️‍♀️	woman detective	woman detective female female_detective sleuth people & body	6.0
💂	guard	guard people & body	6.0
💂‍♂️	man guard	man guard guardsman people & body	11.0
💂‍♀️	woman guard	woman guard guardswoman people & body	6.0
🥷	ninja	ninja people & body	13.0
👷	construction worker	construction worker construction_worker helmet people & body	6.0
👷‍♂️	man construction worker	man construction worker construction_worker_man helmet people & body	11.0
👷‍♀️	woman construction worker	woman construction worker construction_worker_woman helmet people & body	6.0
🫅	person with crown	person with crown person_with_crown people & body	14.0
🤴	prince	prince crown royal people & body	9.0
👸	princess	princess crown royal people & body	6.0
👳	person wearing turban	person wearing turban with person_with_turban people & body	6.0
👳‍♂️	man wearing turban	man wearing turban with man_with_turban people & body	11.0
👳‍♀️	woman wearing turban	woman wearing turban with woman_with_turban people & body	6.0
👲	person with skullcap	person with skullcap man gua pi mao man_with_gua_pi_mao people & body	6.0
🧕	woman with headscarf	woman with headscarf woman_with_headscarf hijab people & body	11.0
🤵	person in tuxedo	person in tuxedo person_in_tuxedo groom marriage wedding people & body	9.0
🤵‍♂️	man in tuxedo	man in tuxedo man_in_tuxedo people & body	13.0
🤵‍♀️	woman in tuxedo	woman in tuxedo woman_in_tuxedo people & body	13.0
👰	person with veil	person with veil person_with_veil marriage wedding people & body	6.0
👰‍♂️	man with veil	man with veil man_with_veil people & body	13.0
👰‍♀️	woman with veil	woman with veil woman_with_veil bride bride_with_veil people & body	13.0
🤰	pregnant woman	pregnant woman pregnant_woman people & body	9.0
🫃	pregnant man	pregnant man pregnant_man people & body	14.0
🫄	pregnant person	pregnant person pregnant_person people & body	14.0
🤱	breast-feeding	breast feeding breast_feeding nursing people & body	11.0
👩‍🍼	woman feeding baby	woman feeding baby woman_feeding_baby people & body	13.0
👨‍🍼	man feeding baby	man feeding baby man_feeding_baby people & body	13.0
🧑‍🍼	person feeding baby	person feeding baby person_feeding_baby people & body	13.0
👼	baby angel	baby angel people & body	6.0
🎅	Santa Claus	santa claus christmas people & body	6.0
🤶	Mrs. Claus	mrs. claus mrs mrs_claus santa people & body	9.0
🧑‍🎄	mx claus	mx claus mx_claus people & body	13.0
🦸	superhero	superhero people & body	11.0
🦸‍♂️	man superhero	man superhero superhero_man people & body	11.0
🦸‍♀️	woman superhero	woman superhero superhero_woman people & body	11.0
🦹	supervillain	supervillain people & body	11.0
🦹‍♂️	man supervillain	man supervillain supervillain_man people & body	11.0
🦹‍♀️	woman supervillain	woman supervillain supervillain_woman people & body	11.0
🧙	mage	mage wizard people & body	11.0
🧙‍♂️	man mage	man mage mage_man wizard people & body	11.0
🧙‍♀️	woman mage	woman mage mage_woman wizard people & body	11.0
🧚	fairy	fairy people & body	11.0
🧚‍♂️	man fairy	man fairy fairy_man people & body	11.0
🧚‍♀️	woman fairy	woman fairy fairy_woman people & body	11.0
🧛	vampire	vampire people & body	11.0
🧛‍♂️	man vampire	man vampire vampire_man people & body	11.0
🧛‍♀️	woman vampire	woman vampire vampire_woman people & body	11.0
🧜	merperson	merperson people & body	11.0
🧜‍♂️	merman	merman people & body	11.0
🧜‍♀️	mermaid	mermaid people & body	11.0
🧝	elf	elf people & body	11.0
🧝‍♂️	man elf	man elf elf_man people & body	11.0
🧝‍♀️	woman elf	woman elf elf_woman people & body	11.0
🧞	genie	genie people & body	11.0
🧞‍♂️	man genie	man genie genie_man people & body	11.0
🧞‍♀️	woman genie	woman genie genie_woman people & body	11.0
🧟	zombie	zombie people & body	11.0
🧟‍♂️	man zombie	man zombie zombie_man people & body	11.0
🧟‍♀️	woman zombie	woman zombie zombie_woman people & body	11.0
🧌	troll	troll people & body	14.0
💆	person getting massage	person getting massage spa people & body	6.0
💆‍♂️	man getting massage	man getting massage massage_man spa people & body	6.0
💆‍♀️	woman getting massage	woman getting massage massage_woman spa people & body	11.0
💇	person getting haircut	person getting haircut beauty people & body	6.0
💇‍♂️	man getting haircut	man getting haircut haircut_man people & body	6.0
💇‍♀️	woman getting haircut	woman getting haircut haircut_woman people & body	11.0
🚶	person walking	person walking people & body	6.0
🚶‍♂️	man walking	man walking walking_man people & body	11.0
🚶‍♀️	woman walking	woman walking walking_woman people & body	6.0
🧍	person standing	person standing standing_person people & body	12.0
🧍‍♂️	man standing	man standing standing_man people & body	12.0
🧍‍♀️	woman standing	woman standing standing_woman people & body	12.0
🧎	person kneeling	person kneeling kneeling_person people & body	12.0
🧎‍♂️	man kneeling	man kneeling kneeling_man people & body	12.0
🧎‍♀️	woman kneeling	woman kneeling kneeling_woman people & body	12.0
🧑‍🦯	person with white cane	person with white cane probing person_with_probing_cane people & body	12.1
👨‍🦯	man with white cane	man with white cane probing man_with_probing_cane people & body	12.0
👩‍🦯	woman with white cane	woman with white cane probing woman_with_probing_cane people & body	12.0
🧑‍🦼	person in motorized wheelchair	person in motorized wheelchair person_in_motorized_wheelchair people & body	12.1
👨‍🦼	man in motorized wheelchair	man in motorized wheelchair man_in_motorized_wheelchair people & body	12.0
👩‍🦼	woman in motorized wheelchair	woman in motorized wheelchair woman_in_motorized_wheelchair people & body	12.0
🧑‍🦽	person in manual wheelchair	person in manual wheelchair person_in_manual_wheelchair people & body	12.1
👨‍🦽	man in manual wheelchair	man in manual wheelchair man_in_manual_wheelchair people & body	12.0
👩‍🦽	woman in manual wheelchair	woman in manual wheelchair woman_in_manual_wheelchair people & body	12.0
🏃	person running	person running runner exercise workout marathon people & body	6.0
🏃‍♂️	man running	man running running_man exercise workout marathon people & body	11.0
🏃‍♀️	woman running	woman running running_woman exercise workout marathon people & body	6.0
💃	woman dancing	woman dancing woman_dancing dancer dress people & body	6.0
🕺	man dancing	man dancing man_dancing dancer people & body	9.0
🕴️	person in suit levitating	person in suit levitating business business_suit_levitating people & body	7.0
👯	people with bunny ears	people with bunny ears dancers & body	6.0
👯‍♂️	men with bunny ears	men with bunny ears dancing dancing_men people & body	6.0
👯‍♀️	women with bunny ears	women with bunny ears dancing dancing_women people & body	11.0
